prov_id,year,track,batch,group,uni_name,uni_raw,min_score,min_rank,plan,source,fetched_at
henan,2025,his,专科批,（101）,温州商学院,温州商学院,350,,10,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,西安明德理工学院,西安明德理工学院,397,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,大连艺术学院,大连艺术学院,209,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（102）,长春科技学院,长春科技学院,339,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,大连科技学院,大连科技学院,300,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,大连东软信息学院,大连东软信息学院,236,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,山西工程科技职业大学,山西工程科技职业大学,449,,5,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（102）,辽宁民族师范高等专科学校,辽宁民族师范高等专科学校,334,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,长春汽车职业技术大学,长春汽车职业技术大学,324,,30,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,哈尔滨幼儿师范高等专科学校,哈尔滨幼儿师范高等专科学校,329,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,长春金融高等专科学校,长春金融高等专科学校,389,,33,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,首选历史，再选不限,上海旅游高等专科学校,上海旅游高等专科学校,416,,26,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,镇江市高等专科学校,镇江市高等专科学校,461,,10,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,江苏城市职业学院,江苏城市职业学院,465,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,合肥幼儿师范高等专科学校,合肥幼儿师范高等专科学校,444,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,安徽第二医学院,安徽第二医学院,497,,4,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,安徽中医药高等专科学校,安徽中医药高等专科学校,443,,8,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,桐城师范高等专科学校,桐城师范高等专科学校,454,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（201）,徐州幼儿师范高等专科学校,徐州幼儿师范高等专科学校,271,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,汉江师范学院,汉江师范学院,486,,13,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,广西体育高等专科学校,广西体育高等专科学校,336,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（102）,曲靖健康医学院,曲靖健康医学院,466,,2,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（102）,楚雄医药高等专科学校,楚雄医药高等专科学校,432,,3,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,首选历史，再选不限,抚州医药学院,抚州医药学院,467,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,首选历史，再选不限,石家庄幼儿师范高等专科学校,石家庄幼儿师范高等专科学校,435,,6,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,上海南湖职业技术学院,上海南湖职业技术学院,450,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,重庆工信职业学院,重庆工信职业学院,406,,40,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
henan,2025,his,专科批,（101）,烟台城市科技职业学院,烟台城市科技职业学院,304,,0,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/school-admission.csv,2026-09-20T06:33:22+00:00
