prov_id,year,track,score,rank,cum_count,source,fetched_at
henan,2025,phy,674,1917,154,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,673,2061,144,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,672,2230,169,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,671,2395,165,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,670,2579,184,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,669,2741,162,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,668,2939,198,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,667,3171,232,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,666,3387,216,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,665,3614,227,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,664,3838,224,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,663,4081,243,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,662,4316,235,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,661,4578,262,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,660,4874,296,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,659,5147,273,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
henan,2025,phy,658,5456,309,https://hf-mirror.com/datasets/choucsan/Gaokao-Compass-11M/resolve/main/data/2025/henan/score-range.csv,2026-09-18T10:06:18+00:00
