分数,位次,省份,年份,科类
659,2209,江苏,2025,物理类
658,2414,江苏,2025,物理类
657,2618,江苏,2025,物理类
656,2847,江苏,2025,物理类
655,3081,江苏,2025,物理类
654,3281,江苏,2025,物理类
653,3556,江苏,2025,物理类
652,3805,江苏,2025,物理类
651,4082,江苏,2025,物理类
650,4363,江苏,2025,物理类
649,4675,江苏,2025,物理类
648,4973,江苏,2025,物理类
647,5310,江苏,2025,物理类
646,5633,江苏,2025,物理类
645,5985,江苏,2025,物理类
644,6362,江苏,2025,物理类
643,6732,江苏,2025,物理类
642,7121,江苏,2025,物理类
641,7529,江苏,2025,物理类
640,7928,江苏,2025,物理类
639,8362,江苏,2025,物理类
638,8837,江苏,2025,物理类
637,9279,江苏,2025,物理类
636,9765,江苏,2025,物理类
635,10262,江苏,2025,物理类
634,10750,江苏,2025,物理类
633,11248,江苏,2025,物理类
632,11769,江苏,2025,物理类
631,12320,江苏,2025,物理类
630,12829,江苏,2025,物理类
629,13359,江苏,2025,物理类
628,13915,江苏,2025,物理类
627,14487,江苏,2025,物理类
626,15099,江苏,2025,物理类
625,15713,江苏,2025,物理类
624,16379,江苏,2025,物理类
623,17028,江苏,2025,物理类
622,17706,江苏,2025,物理类
621,18319,江苏,2025,物理类
620,19004,江苏,2025,物理类
619,19674,江苏,2025,物理类
618,20349,江苏,2025,物理类
617,21043,江苏,2025,物理类
616,21735,江苏,2025,物理类
615,22495,江苏,2025,物理类
614,23214,江苏,2025,物理类
613,23947,江苏,2025,物理类
612,24769,江苏,2025,物理类
611,25515,江苏,2025,物理类
610,26330,江苏,2025,物理类
609,27150,江苏,2025,物理类
608,27965,江苏,2025,物理类
607,28841,江苏,2025,物理类
606,29638,江苏,2025,物理类
605,30492,江苏,2025,物理类
604,31362,江苏,2025,物理类
603,32190,江苏,2025,物理类
602,33069,江苏,2025,物理类
601,33985,江苏,2025,物理类
600,34888,江苏,2025,物理类
599,35803,江苏,2025,物理类
598,36724,江苏,2025,物理类
597,37720,江苏,2025,物理类
596,38685,江苏,2025,物理类
595,39620,江苏,2025,物理类
594,40639,江苏,2025,物理类
593,41599,江苏,2025,物理类
592,42525,江苏,2025,物理类
591,43570,江苏,2025,物理类
590,44618,江苏,2025,物理类
589,45633,江苏,2025,物理类
588,46626,江苏,2025,物理类
587,47686,江苏,2025,物理类
586,48740,江苏,2025,物理类
585,49806,江苏,2025,物理类
584,50891,江苏,2025,物理类
583,51945,江苏,2025,物理类
582,52996,江苏,2025,物理类
581,54119,江苏,2025,物理类
580,55261,江苏,2025,物理类
579,56445,江苏,2025,物理类
578,57591,江苏,2025,物理类
577,58764,江苏,2025,物理类
576,59905,江苏,2025,物理类
575,61029,江苏,2025,物理类
574,62232,江苏,2025,物理类
573,63454,江苏,2025,物理类
572,64677,江苏,2025,物理类
571,65871,江苏,2025,物理类
570,67133,江苏,2025,物理类
569,68338,江苏,2025,物理类
568,69540,江苏,2025,物理类
567,70814,江苏,2025,物理类
566,72122,江苏,2025,物理类
565,73284,江苏,2025,物理类
564,74582,江苏,2025,物理类
563,75837,江苏,2025,物理类
562,77093,江苏,2025,物理类
561,78396,江苏,2025,物理类
560,79711,江苏,2025,物理类
559,81013,江苏,2025,物理类
558,82292,江苏,2025,物理类
557,83617,江苏,2025,物理类
556,84862,江苏,2025,物理类
555,86192,江苏,2025,物理类
554,87528,江苏,2025,物理类
553,88855,江苏,2025,物理类
552,90193,江苏,2025,物理类
551,91583,江苏,2025,物理类
550,92971,江苏,2025,物理类
549,94329,江苏,2025,物理类
548,95642,江苏,2025,物理类
547,96973,江苏,2025,物理类
546,98331,江苏,2025,物理类
545,99722,江苏,2025,物理类
544,101161,江苏,2025,物理类
543,102526,江苏,2025,物理类
542,103949,江苏,2025,物理类
541,105341,江苏,2025,物理类
540,106680,江苏,2025,物理类
539,108073,江苏,2025,物理类
538,109484,江苏,2025,物理类
537,110914,江苏,2025,物理类
536,112293,江苏,2025,物理类
535,113739,江苏,2025,物理类
534,115115,江苏,2025,物理类
533,116554,江苏,2025,物理类
532,117992,江苏,2025,物理类
531,119385,江苏,2025,物理类
530,120767,江苏,2025,物理类
529,122198,江苏,2025,物理类
528,123539,江苏,2025,物理类
527,125021,江苏,2025,物理类
526,126402,江苏,2025,物理类
525,127836,江苏,2025,物理类
524,129305,江苏,2025,物理类
523,130715,江苏,2025,物理类
522,132082,江苏,2025,物理类
521,133470,江苏,2025,物理类
