分数,位次,省份,年份,科类
444,35028,广西,2025,历史类
443,35455,广西,2025,历史类
442,35856,广西,2025,历史类
441,36271,广西,2025,历史类
440,36677,广西,2025,历史类
439,37070,广西,2025,历史类
438,37474,广西,2025,历史类
437,37887,广西,2025,历史类
436,38277,广西,2025,历史类
435,38711,广西,2025,历史类
434,39109,广西,2025,历史类
433,39562,广西,2025,历史类
432,39986,广西,2025,历史类
431,40420,广西,2025,历史类
430,40844,广西,2025,历史类
429,41317,广西,2025,历史类
428,41731,广西,2025,历史类
427,42209,广西,2025,历史类
426,42630,广西,2025,历史类
425,43085,广西,2025,历史类
424,43539,广西,2025,历史类
423,44036,广西,2025,历史类
422,44489,广西,2025,历史类
421,44923,广西,2025,历史类
420,45379,广西,2025,历史类
419,45825,广西,2025,历史类
418,46270,广西,2025,历史类
417,46725,广西,2025,历史类
416,47173,广西,2025,历史类
415,47576,广西,2025,历史类
414,48032,广西,2025,历史类
413,48514,广西,2025,历史类
412,48968,广西,2025,历史类
411,49427,广西,2025,历史类
410,49912,广西,2025,历史类
409,50360,广西,2025,历史类
408,50838,广西,2025,历史类
407,51280,广西,2025,历史类
406,51712,广西,2025,历史类
405,52179,广西,2025,历史类
404,52650,广西,2025,历史类
403,53141,广西,2025,历史类
402,53615,广西,2025,历史类
401,54094,广西,2025,历史类
400,54558,广西,2025,历史类
399,55057,广西,2025,历史类
398,55556,广西,2025,历史类
397,55999,广西,2025,历史类
396,56508,广西,2025,历史类
395,56996,广西,2025,历史类
394,57480,广西,2025,历史类
393,58002,广西,2025,历史类
392,58497,广西,2025,历史类
391,59001,广西,2025,历史类
390,59523,广西,2025,历史类
389,60026,广西,2025,历史类
388,60523,广西,2025,历史类
387,60994,广西,2025,历史类
386,61483,广西,2025,历史类
385,61957,广西,2025,历史类
384,62457,广西,2025,历史类
383,62993,广西,2025,历史类
382,63523,广西,2025,历史类
381,64032,广西,2025,历史类
380,64536,广西,2025,历史类
379,65039,广西,2025,历史类
378,65587,广西,2025,历史类
377,66136,广西,2025,历史类
376,66647,广西,2025,历史类
375,67174,广西,2025,历史类
374,67693,广西,2025,历史类
373,68198,广西,2025,历史类
372,68725,广西,2025,历史类
371,69282,广西,2025,历史类
370,69834,广西,2025,历史类
369,70384,广西,2025,历史类
368,70927,广西,2025,历史类
367,71456,广西,2025,历史类
366,71974,广西,2025,历史类
365,72512,广西,2025,历史类
364,73039,广西,2025,历史类
363,73592,广西,2025,历史类
362,74084,广西,2025,历史类
361,74667,广西,2025,历史类
360,75198,广西,2025,历史类
359,75762,广西,2025,历史类
358,76264,广西,2025,历史类
357,76763,广西,2025,历史类
356,77280,广西,2025,历史类
355,77790,广西,2025,历史类
354,78323,广西,2025,历史类
353,78808,广西,2025,历史类
352,79341,广西,2025,历史类
351,79853,广西,2025,历史类
350,80383,广西,2025,历史类
349,80859,广西,2025,历史类
348,81390,广西,2025,历史类
347,81937,广西,2025,历史类
346,82448,广西,2025,历史类
345,82956,广西,2025,历史类
344,83478,广西,2025,历史类
343,83974,广西,2025,历史类
342,84493,广西,2025,历史类
341,84968,广西,2025,历史类
340,85469,广西,2025,历史类
339,85980,广西,2025,历史类
338,86464,广西,2025,历史类
337,86926,广西,2025,历史类
336,87427,广西,2025,历史类
335,87917,广西,2025,历史类
334,88369,广西,2025,历史类
333,88839,广西,2025,历史类
332,89265,广西,2025,历史类
331,89743,广西,2025,历史类
330,90257,广西,2025,历史类
329,90725,广西,2025,历史类
328,91246,广西,2025,历史类
327,91711,广西,2025,历史类
326,92135,广西,2025,历史类
325,92582,广西,2025,历史类
324,93031,广西,2025,历史类
323,93462,广西,2025,历史类
322,93875,广西,2025,历史类
321,94330,广西,2025,历史类
320,94762,广西,2025,历史类
319,95205,广西,2025,历史类
318,95597,广西,2025,历史类
317,96054,广西,2025,历史类
316,96497,广西,2025,历史类
315,96899,广西,2025,历史类
314,97314,广西,2025,历史类
313,97705,广西,2025,历史类
312,98081,广西,2025,历史类
311,98464,广西,2025,历史类
310,98884,广西,2025,历史类
309,99249,广西,2025,历史类
308,99606,广西,2025,历史类
307,99995,广西,2025,历史类
306,100354,广西,2025,历史类
305,100760,广西,2025,历史类
304,101117,广西,2025,历史类
303,101497,广西,2025,历史类
302,101847,广西,2025,历史类
301,102195,广西,2025,历史类
300,102510,广西,2025,历史类
299,102846,广西,2025,历史类
298,103181,广西,2025,历史类
297,103507,广西,2025,历史类
296,103777,广西,2025,历史类
295,104105,广西,2025,历史类
294,104430,广西,2025,历史类
293,104768,广西,2025,历史类
292,105070,广西,2025,历史类
291,105339,广西,2025,历史类
290,105638,广西,2025,历史类
289,105908,广西,2025,历史类
288,106204,广西,2025,历史类
287,106463,广西,2025,历史类
286,106742,广西,2025,历史类
285,107026,广西,2025,历史类
284,107290,广西,2025,历史类
283,107554,广西,2025,历史类
282,107790,广西,2025,历史类
281,108047,广西,2025,历史类
280,108325,广西,2025,历史类
279,108589,广西,2025,历史类
278,108839,广西,2025,历史类
277,109066,广西,2025,历史类
276,109281,广西,2025,历史类
275,109513,广西,2025,历史类
274,109736,广西,2025,历史类
273,109977,广西,2025,历史类
272,110200,广西,2025,历史类
271,110418,广西,2025,历史类
270,110636,广西,2025,历史类
269,110818,广西,2025,历史类
268,111015,广西,2025,历史类
267,111224,广西,2025,历史类
266,111446,广西,2025,历史类
265,111647,广西,2025,历史类
264,111842,广西,2025,历史类
263,112038,广西,2025,历史类
262,112246,广西,2025,历史类
261,112440,广西,2025,历史类
260,112624,广西,2025,历史类
259,112807,广西,2025,历史类
258,112981,广西,2025,历史类
257,113131,广西,2025,历史类
256,113317,广西,2025,历史类
255,113501,广西,2025,历史类
254,113657,广西,2025,历史类
253,113816,广西,2025,历史类
252,113961,广西,2025,历史类
251,114128,广西,2025,历史类
250,114288,广西,2025,历史类
249,114456,广西,2025,历史类
248,114581,广西,2025,历史类
247,114745,广西,2025,历史类
246,114883,广西,2025,历史类
245,115036,广西,2025,历史类
244,115172,广西,2025,历史类
243,115329,广西,2025,历史类
