分数,位次,省份,年份,科类
450,82426,四川,2025,历史类
449,83125,四川,2025,历史类
448,83794,四川,2025,历史类
447,84456,四川,2025,历史类
446,85148,四川,2025,历史类
445,85852,四川,2025,历史类
444,86525,四川,2025,历史类
443,87206,四川,2025,历史类
442,87933,四川,2025,历史类
441,88567,四川,2025,历史类
440,89240,四川,2025,历史类
439,89913,四川,2025,历史类
438,90536,四川,2025,历史类
437,91158,四川,2025,历史类
436,91796,四川,2025,历史类
435,92482,四川,2025,历史类
434,93181,四川,2025,历史类
433,93868,四川,2025,历史类
432,94518,四川,2025,历史类
431,95189,四川,2025,历史类
430,95878,四川,2025,历史类
429,96561,四川,2025,历史类
428,97195,四川,2025,历史类
427,97833,四川,2025,历史类
426,98461,四川,2025,历史类
425,99118,四川,2025,历史类
424,99788,四川,2025,历史类
423,100451,四川,2025,历史类
422,101142,四川,2025,历史类
421,101838,四川,2025,历史类
420,102568,四川,2025,历史类
419,103198,四川,2025,历史类
418,103926,四川,2025,历史类
417,104645,四川,2025,历史类
416,105350,四川,2025,历史类
415,105988,四川,2025,历史类
414,106615,四川,2025,历史类
413,107301,四川,2025,历史类
412,108000,四川,2025,历史类
411,108706,四川,2025,历史类
410,109382,四川,2025,历史类
409,110024,四川,2025,历史类
408,110718,四川,2025,历史类
407,111441,四川,2025,历史类
406,112147,四川,2025,历史类
405,112825,四川,2025,历史类
404,113505,四川,2025,历史类
403,114166,四川,2025,历史类
402,114811,四川,2025,历史类
401,115467,四川,2025,历史类
400,116097,四川,2025,历史类
399,116730,四川,2025,历史类
398,117382,四川,2025,历史类
397,118077,四川,2025,历史类
396,118744,四川,2025,历史类
395,119440,四川,2025,历史类
394,120093,四川,2025,历史类
393,120755,四川,2025,历史类
392,121399,四川,2025,历史类
391,122032,四川,2025,历史类
390,122671,四川,2025,历史类
389,123306,四川,2025,历史类
388,123934,四川,2025,历史类
387,124571,四川,2025,历史类
386,125220,四川,2025,历史类
385,125846,四川,2025,历史类
384,126423,四川,2025,历史类
383,127021,四川,2025,历史类
382,127643,四川,2025,历史类
381,128315,四川,2025,历史类
380,128930,四川,2025,历史类
379,129552,四川,2025,历史类
378,130180,四川,2025,历史类
377,130827,四川,2025,历史类
376,131404,四川,2025,历史类
375,132019,四川,2025,历史类
374,132605,四川,2025,历史类
373,133149,四川,2025,历史类
372,133753,四川,2025,历史类
371,134340,四川,2025,历史类
370,134904,四川,2025,历史类
369,135459,四川,2025,历史类
368,136041,四川,2025,历史类
367,136636,四川,2025,历史类
366,137211,四川,2025,历史类
365,137774,四川,2025,历史类
364,138372,四川,2025,历史类
363,138953,四川,2025,历史类
362,139478,四川,2025,历史类
361,140046,四川,2025,历史类
360,140582,四川,2025,历史类
359,141126,四川,2025,历史类
358,141680,四川,2025,历史类
357,142221,四川,2025,历史类
356,142711,四川,2025,历史类
355,143254,四川,2025,历史类
354,143780,四川,2025,历史类
353,144318,四川,2025,历史类
352,144857,四川,2025,历史类
351,145347,四川,2025,历史类
350,145860,四川,2025,历史类
349,146364,四川,2025,历史类
348,146866,四川,2025,历史类
347,147375,四川,2025,历史类
346,147864,四川,2025,历史类
345,148336,四川,2025,历史类
344,148834,四川,2025,历史类
343,149324,四川,2025,历史类
342,149793,四川,2025,历史类
341,150279,四川,2025,历史类
340,150761,四川,2025,历史类
339,151227,四川,2025,历史类
338,151668,四川,2025,历史类
337,152122,四川,2025,历史类
336,152568,四川,2025,历史类
335,152981,四川,2025,历史类
334,153397,四川,2025,历史类
333,153791,四川,2025,历史类
332,154216,四川,2025,历史类
331,154642,四川,2025,历史类
330,155056,四川,2025,历史类
329,155454,四川,2025,历史类
328,155861,四川,2025,历史类
327,156244,四川,2025,历史类
326,156642,四川,2025,历史类
325,157042,四川,2025,历史类
324,157425,四川,2025,历史类
323,157811,四川,2025,历史类
322,158200,四川,2025,历史类
321,158552,四川,2025,历史类
320,158936,四川,2025,历史类
319,159315,四川,2025,历史类
318,159664,四川,2025,历史类
317,159977,四川,2025,历史类
316,160313,四川,2025,历史类
315,160665,四川,2025,历史类
314,161011,四川,2025,历史类
313,161367,四川,2025,历史类
312,161695,四川,2025,历史类
311,162039,四川,2025,历史类
310,162343,四川,2025,历史类
309,162685,四川,2025,历史类
308,163020,四川,2025,历史类
307,163335,四川,2025,历史类
306,163629,四川,2025,历史类
305,163906,四川,2025,历史类
304,164205,四川,2025,历史类
303,164474,四川,2025,历史类
302,164788,四川,2025,历史类
301,165046,四川,2025,历史类
300,165286,四川,2025,历史类
299,165547,四川,2025,历史类
298,165818,四川,2025,历史类
297,166067,四川,2025,历史类
296,166335,四川,2025,历史类
295,166605,四川,2025,历史类
294,166859,四川,2025,历史类
293,167079,四川,2025,历史类
292,167321,四川,2025,历史类
291,167566,四川,2025,历史类
290,167794,四川,2025,历史类
289,168020,四川,2025,历史类
288,168246,四川,2025,历史类
287,168461,四川,2025,历史类
286,168651,四川,2025,历史类
285,168874,四川,2025,历史类
284,169064,四川,2025,历史类
283,169270,四川,2025,历史类
282,169488,四川,2025,历史类
281,169695,四川,2025,历史类
280,169885,四川,2025,历史类
279,170067,四川,2025,历史类
278,170257,四川,2025,历史类
277,170447,四川,2025,历史类
276,170634,四川,2025,历史类
275,170807,四川,2025,历史类
274,170987,四川,2025,历史类
273,171188,四川,2025,历史类
