分数,位次,省份,年份,科类
459,77131,河北,2025,历史类
458,77855,河北,2025,历史类
457,78537,河北,2025,历史类
456,79202,河北,2025,历史类
455,79917,河北,2025,历史类
454,80573,河北,2025,历史类
453,81315,河北,2025,历史类
452,81999,河北,2025,历史类
451,82709,河北,2025,历史类
450,83390,河北,2025,历史类
449,84133,河北,2025,历史类
448,84857,河北,2025,历史类
447,85550,河北,2025,历史类
446,86240,河北,2025,历史类
445,86954,河北,2025,历史类
444,87656,河北,2025,历史类
443,88381,河北,2025,历史类
442,89129,河北,2025,历史类
441,89865,河北,2025,历史类
440,90617,河北,2025,历史类
439,91317,河北,2025,历史类
438,92029,河北,2025,历史类
437,92814,河北,2025,历史类
436,93574,河北,2025,历史类
435,94308,河北,2025,历史类
434,95040,河北,2025,历史类
433,95761,河北,2025,历史类
432,96493,河北,2025,历史类
431,97238,河北,2025,历史类
430,97977,河北,2025,历史类
429,98741,河北,2025,历史类
428,99444,河北,2025,历史类
427,100182,河北,2025,历史类
426,100926,河北,2025,历史类
425,101689,河北,2025,历史类
424,102415,河北,2025,历史类
423,103213,河北,2025,历史类
422,103981,河北,2025,历史类
421,104714,河北,2025,历史类
420,105478,河北,2025,历史类
419,106213,河北,2025,历史类
418,107005,河北,2025,历史类
417,107774,河北,2025,历史类
416,108538,河北,2025,历史类
415,109310,河北,2025,历史类
414,110112,河北,2025,历史类
413,110870,河北,2025,历史类
412,111658,河北,2025,历史类
411,112514,河北,2025,历史类
410,113290,河北,2025,历史类
409,114047,河北,2025,历史类
408,114830,河北,2025,历史类
407,115568,河北,2025,历史类
406,116363,河北,2025,历史类
405,117145,河北,2025,历史类
404,117945,河北,2025,历史类
403,118767,河北,2025,历史类
402,119579,河北,2025,历史类
401,120421,河北,2025,历史类
400,121153,河北,2025,历史类
399,121977,河北,2025,历史类
398,122735,河北,2025,历史类
397,123521,河北,2025,历史类
396,124278,河北,2025,历史类
395,125074,河北,2025,历史类
394,125905,河北,2025,历史类
393,126708,河北,2025,历史类
392,127497,河北,2025,历史类
391,128342,河北,2025,历史类
390,129129,河北,2025,历史类
389,129959,河北,2025,历史类
388,130790,河北,2025,历史类
387,131644,河北,2025,历史类
386,132507,河北,2025,历史类
385,133274,河北,2025,历史类
384,134129,河北,2025,历史类
383,134968,河北,2025,历史类
382,135757,河北,2025,历史类
381,136545,河北,2025,历史类
380,137371,河北,2025,历史类
379,138201,河北,2025,历史类
378,139046,河北,2025,历史类
377,139883,河北,2025,历史类
376,140681,河北,2025,历史类
375,141519,河北,2025,历史类
374,142323,河北,2025,历史类
373,143213,河北,2025,历史类
372,143983,河北,2025,历史类
371,144787,河北,2025,历史类
370,145627,河北,2025,历史类
369,146480,河北,2025,历史类
368,147250,河北,2025,历史类
367,148089,河北,2025,历史类
366,148854,河北,2025,历史类
365,149702,河北,2025,历史类
364,150503,河北,2025,历史类
363,151294,河北,2025,历史类
362,152071,河北,2025,历史类
361,152892,河北,2025,历史类
360,153699,河北,2025,历史类
359,154514,河北,2025,历史类
358,155314,河北,2025,历史类
357,156127,河北,2025,历史类
356,156957,河北,2025,历史类
355,157773,河北,2025,历史类
354,158541,河北,2025,历史类
353,159351,河北,2025,历史类
352,160143,河北,2025,历史类
351,160913,河北,2025,历史类
350,161725,河北,2025,历史类
349,162510,河北,2025,历史类
348,163236,河北,2025,历史类
347,163955,河北,2025,历史类
346,164763,河北,2025,历史类
345,165560,河北,2025,历史类
344,166276,河北,2025,历史类
343,167086,河北,2025,历史类
342,167871,河北,2025,历史类
341,168612,河北,2025,历史类
340,169364,河北,2025,历史类
339,170096,河北,2025,历史类
338,170874,河北,2025,历史类
337,171570,河北,2025,历史类
336,172255,河北,2025,历史类
335,172954,河北,2025,历史类
334,173665,河北,2025,历史类
333,174352,河北,2025,历史类
332,175060,河北,2025,历史类
331,175771,河北,2025,历史类
330,176443,河北,2025,历史类
329,177121,河北,2025,历史类
328,177797,河北,2025,历史类
327,178495,河北,2025,历史类
326,179163,河北,2025,历史类
325,179800,河北,2025,历史类
324,180467,河北,2025,历史类
323,181094,河北,2025,历史类
322,181749,河北,2025,历史类
321,182366,河北,2025,历史类
320,182979,河北,2025,历史类
319,183650,河北,2025,历史类
318,184260,河北,2025,历史类
317,184912,河北,2025,历史类
316,185533,河北,2025,历史类
315,186176,河北,2025,历史类
314,186809,河北,2025,历史类
313,187435,河北,2025,历史类
312,188063,河北,2025,历史类
311,188685,河北,2025,历史类
310,189315,河北,2025,历史类
309,189875,河北,2025,历史类
308,190437,河北,2025,历史类
307,191021,河北,2025,历史类
306,191610,河北,2025,历史类
305,192170,河北,2025,历史类
304,192722,河北,2025,历史类
303,193279,河北,2025,历史类
302,193853,河北,2025,历史类
301,194461,河北,2025,历史类
300,195013,河北,2025,历史类
299,195536,河北,2025,历史类
298,196083,河北,2025,历史类
297,196653,河北,2025,历史类
296,197199,河北,2025,历史类
295,197737,河北,2025,历史类
294,198247,河北,2025,历史类
293,198786,河北,2025,历史类
292,199290,河北,2025,历史类
291,199806,河北,2025,历史类
290,200330,河北,2025,历史类
289,200810,河北,2025,历史类
288,201309,河北,2025,历史类
287,201821,河北,2025,历史类
286,202329,河北,2025,历史类
