分数,位次,省份,年份,科类
479,18714,辽宁,2025,历史类
478,18893,辽宁,2025,历史类
477,19104,辽宁,2025,历史类
476,19290,辽宁,2025,历史类
475,19467,辽宁,2025,历史类
474,19628,辽宁,2025,历史类
473,19820,辽宁,2025,历史类
472,19994,辽宁,2025,历史类
471,20196,辽宁,2025,历史类
470,20368,辽宁,2025,历史类
469,20567,辽宁,2025,历史类
468,20756,辽宁,2025,历史类
467,20957,辽宁,2025,历史类
466,21130,辽宁,2025,历史类
465,21324,辽宁,2025,历史类
464,21529,辽宁,2025,历史类
463,21728,辽宁,2025,历史类
462,21926,辽宁,2025,历史类
461,22112,辽宁,2025,历史类
460,22299,辽宁,2025,历史类
459,22491,辽宁,2025,历史类
458,22672,辽宁,2025,历史类
457,22860,辽宁,2025,历史类
456,23060,辽宁,2025,历史类
455,23282,辽宁,2025,历史类
454,23484,辽宁,2025,历史类
453,23703,辽宁,2025,历史类
452,23904,辽宁,2025,历史类
451,24098,辽宁,2025,历史类
450,24299,辽宁,2025,历史类
449,24475,辽宁,2025,历史类
448,24676,辽宁,2025,历史类
447,24848,辽宁,2025,历史类
446,25050,辽宁,2025,历史类
445,25232,辽宁,2025,历史类
444,25432,辽宁,2025,历史类
443,25655,辽宁,2025,历史类
442,25844,辽宁,2025,历史类
441,26054,辽宁,2025,历史类
440,26250,辽宁,2025,历史类
439,26450,辽宁,2025,历史类
438,26701,辽宁,2025,历史类
437,26916,辽宁,2025,历史类
436,27115,辽宁,2025,历史类
435,27321,辽宁,2025,历史类
434,27526,辽宁,2025,历史类
433,27719,辽宁,2025,历史类
432,27921,辽宁,2025,历史类
431,28122,辽宁,2025,历史类
430,28310,辽宁,2025,历史类
429,28518,辽宁,2025,历史类
428,28736,辽宁,2025,历史类
427,28918,辽宁,2025,历史类
426,29131,辽宁,2025,历史类
425,29320,辽宁,2025,历史类
424,29502,辽宁,2025,历史类
423,29701,辽宁,2025,历史类
422,29888,辽宁,2025,历史类
421,30087,辽宁,2025,历史类
420,30276,辽宁,2025,历史类
419,30491,辽宁,2025,历史类
418,30680,辽宁,2025,历史类
417,30904,辽宁,2025,历史类
416,31083,辽宁,2025,历史类
415,31270,辽宁,2025,历史类
414,31475,辽宁,2025,历史类
413,31674,辽宁,2025,历史类
412,31875,辽宁,2025,历史类
411,32073,辽宁,2025,历史类
410,32255,辽宁,2025,历史类
409,32436,辽宁,2025,历史类
408,32642,辽宁,2025,历史类
407,32851,辽宁,2025,历史类
406,33037,辽宁,2025,历史类
405,33244,辽宁,2025,历史类
404,33424,辽宁,2025,历史类
403,33625,辽宁,2025,历史类
402,33834,辽宁,2025,历史类
401,34050,辽宁,2025,历史类
400,34233,辽宁,2025,历史类
399,34450,辽宁,2025,历史类
398,34671,辽宁,2025,历史类
397,34887,辽宁,2025,历史类
396,35082,辽宁,2025,历史类
395,35294,辽宁,2025,历史类
394,35507,辽宁,2025,历史类
393,35689,辽宁,2025,历史类
392,35907,辽宁,2025,历史类
391,36127,辽宁,2025,历史类
390,36330,辽宁,2025,历史类
389,36533,辽宁,2025,历史类
388,36733,辽宁,2025,历史类
387,36920,辽宁,2025,历史类
386,37117,辽宁,2025,历史类
385,37303,辽宁,2025,历史类
384,37491,辽宁,2025,历史类
383,37643,辽宁,2025,历史类
382,37825,辽宁,2025,历史类
381,38025,辽宁,2025,历史类
380,38217,辽宁,2025,历史类
379,38410,辽宁,2025,历史类
378,38594,辽宁,2025,历史类
377,38797,辽宁,2025,历史类
376,38986,辽宁,2025,历史类
375,39160,辽宁,2025,历史类
374,39355,辽宁,2025,历史类
373,39546,辽宁,2025,历史类
372,39728,辽宁,2025,历史类
371,39909,辽宁,2025,历史类
370,40093,辽宁,2025,历史类
369,40282,辽宁,2025,历史类
368,40465,辽宁,2025,历史类
367,40667,辽宁,2025,历史类
366,40846,辽宁,2025,历史类
365,41023,辽宁,2025,历史类
364,41192,辽宁,2025,历史类
363,41380,辽宁,2025,历史类
362,41568,辽宁,2025,历史类
361,41738,辽宁,2025,历史类
360,41913,辽宁,2025,历史类
359,42074,辽宁,2025,历史类
358,42233,辽宁,2025,历史类
357,42405,辽宁,2025,历史类
356,42585,辽宁,2025,历史类
355,42751,辽宁,2025,历史类
354,42940,辽宁,2025,历史类
353,43104,辽宁,2025,历史类
352,43256,辽宁,2025,历史类
351,43423,辽宁,2025,历史类
350,43588,辽宁,2025,历史类
349,43772,辽宁,2025,历史类
348,43948,辽宁,2025,历史类
347,44154,辽宁,2025,历史类
346,44318,辽宁,2025,历史类
345,44485,辽宁,2025,历史类
344,44649,辽宁,2025,历史类
343,44798,辽宁,2025,历史类
342,44945,辽宁,2025,历史类
341,45111,辽宁,2025,历史类
340,45275,辽宁,2025,历史类
339,45448,辽宁,2025,历史类
338,45595,辽宁,2025,历史类
337,45751,辽宁,2025,历史类
336,45916,辽宁,2025,历史类
335,46052,辽宁,2025,历史类
334,46196,辽宁,2025,历史类
333,46327,辽宁,2025,历史类
332,46466,辽宁,2025,历史类
331,46619,辽宁,2025,历史类
330,46777,辽宁,2025,历史类
329,46902,辽宁,2025,历史类
328,47057,辽宁,2025,历史类
327,47189,辽宁,2025,历史类
326,47307,辽宁,2025,历史类
325,47448,辽宁,2025,历史类
324,47597,辽宁,2025,历史类
323,47736,辽宁,2025,历史类
322,47872,辽宁,2025,历史类
321,48021,辽宁,2025,历史类
320,48140,辽宁,2025,历史类
319,48275,辽宁,2025,历史类
318,48417,辽宁,2025,历史类
317,48543,辽宁,2025,历史类
316,48668,辽宁,2025,历史类
315,48819,辽宁,2025,历史类
314,48962,辽宁,2025,历史类
313,49076,辽宁,2025,历史类
312,49193,辽宁,2025,历史类
311,49320,辽宁,2025,历史类
310,49450,辽宁,2025,历史类
309,49573,辽宁,2025,历史类
308,49700,辽宁,2025,历史类
307,49820,辽宁,2025,历史类
306,49946,辽宁,2025,历史类
305,50076,辽宁,2025,历史类
304,50187,辽宁,2025,历史类
303,50314,辽宁,2025,历史类
302,50446,辽宁,2025,历史类
301,50561,辽宁,2025,历史类
300,50663,辽宁,2025,历史类
299,50776,辽宁,2025,历史类
298,50913,辽宁,2025,历史类
297,51023,辽宁,2025,历史类
296,51134,辽宁,2025,历史类
295,51260,辽宁,2025,历史类
294,51360,辽宁,2025,历史类
293,51450,辽宁,2025,历史类
292,51564,辽宁,2025,历史类
291,51652,辽宁,2025,历史类
290,51754,辽宁,2025,历史类
289,51871,辽宁,2025,历史类
288,51951,辽宁,2025,历史类
287,52033,辽宁,2025,历史类
