分数,位次,省份,年份,科类
451,31412,重庆,2025,历史类
450,31706,重庆,2025,历史类
449,31993,重庆,2025,历史类
448,32265,重庆,2025,历史类
447,32576,重庆,2025,历史类
446,32868,重庆,2025,历史类
445,33174,重庆,2025,历史类
444,33442,重庆,2025,历史类
443,33759,重庆,2025,历史类
442,34085,重庆,2025,历史类
441,34367,重庆,2025,历史类
440,34669,重庆,2025,历史类
439,34957,重庆,2025,历史类
438,35253,重庆,2025,历史类
437,35576,重庆,2025,历史类
436,35919,重庆,2025,历史类
435,36211,重庆,2025,历史类
434,36516,重庆,2025,历史类
433,36860,重庆,2025,历史类
432,37168,重庆,2025,历史类
431,37498,重庆,2025,历史类
430,37799,重庆,2025,历史类
429,38086,重庆,2025,历史类
428,38399,重庆,2025,历史类
427,38697,重庆,2025,历史类
426,38984,重庆,2025,历史类
425,39281,重庆,2025,历史类
424,39557,重庆,2025,历史类
423,39838,重庆,2025,历史类
422,40141,重庆,2025,历史类
421,40440,重庆,2025,历史类
420,40752,重庆,2025,历史类
419,41037,重庆,2025,历史类
418,41336,重庆,2025,历史类
417,41680,重庆,2025,历史类
416,41973,重庆,2025,历史类
415,42272,重庆,2025,历史类
414,42554,重庆,2025,历史类
413,42853,重庆,2025,历史类
412,43150,重庆,2025,历史类
411,43442,重庆,2025,历史类
410,43752,重庆,2025,历史类
409,44040,重庆,2025,历史类
408,44340,重庆,2025,历史类
407,44661,重庆,2025,历史类
406,44934,重庆,2025,历史类
405,45237,重庆,2025,历史类
404,45530,重庆,2025,历史类
403,45825,重庆,2025,历史类
402,46088,重庆,2025,历史类
401,46382,重庆,2025,历史类
400,46661,重庆,2025,历史类
399,46956,重庆,2025,历史类
398,47272,重庆,2025,历史类
397,47538,重庆,2025,历史类
396,47855,重庆,2025,历史类
395,48160,重庆,2025,历史类
394,48421,重庆,2025,历史类
393,48709,重庆,2025,历史类
392,48981,重庆,2025,历史类
391,49253,重庆,2025,历史类
390,49528,重庆,2025,历史类
389,49804,重庆,2025,历史类
388,50066,重庆,2025,历史类
387,50372,重庆,2025,历史类
386,50698,重庆,2025,历史类
385,51006,重庆,2025,历史类
