分数,位次,省份,年份,科类
467,49820,安徽,2025,历史类
466,50332,安徽,2025,历史类
465,50800,安徽,2025,历史类
464,51307,安徽,2025,历史类
463,51836,安徽,2025,历史类
462,52356,安徽,2025,历史类
461,52868,安徽,2025,历史类
460,53385,安徽,2025,历史类
459,53886,安徽,2025,历史类
458,54386,安徽,2025,历史类
457,54917,安徽,2025,历史类
456,55447,安徽,2025,历史类
455,55965,安徽,2025,历史类
454,56506,安徽,2025,历史类
453,57015,安徽,2025,历史类
452,57562,安徽,2025,历史类
451,58100,安徽,2025,历史类
450,58622,安徽,2025,历史类
449,59131,安徽,2025,历史类
448,59651,安徽,2025,历史类
447,60178,安徽,2025,历史类
446,60741,安徽,2025,历史类
445,61242,安徽,2025,历史类
444,61771,安徽,2025,历史类
443,62298,安徽,2025,历史类
442,62797,安徽,2025,历史类
441,63279,安徽,2025,历史类
440,63822,安徽,2025,历史类
439,64343,安徽,2025,历史类
438,64886,安徽,2025,历史类
437,65405,安徽,2025,历史类
436,65952,安徽,2025,历史类
435,66460,安徽,2025,历史类
434,67009,安徽,2025,历史类
433,67520,安徽,2025,历史类
432,68052,安徽,2025,历史类
431,68599,安徽,2025,历史类
430,69119,安徽,2025,历史类
429,69650,安徽,2025,历史类
428,70181,安徽,2025,历史类
427,70714,安徽,2025,历史类
426,71230,安徽,2025,历史类
425,71715,安徽,2025,历史类
424,72250,安徽,2025,历史类
423,72729,安徽,2025,历史类
422,73224,安徽,2025,历史类
421,73753,安徽,2025,历史类
420,74308,安徽,2025,历史类
419,74854,安徽,2025,历史类
418,75387,安徽,2025,历史类
417,75905,安徽,2025,历史类
416,76478,安徽,2025,历史类
415,76984,安徽,2025,历史类
414,77517,安徽,2025,历史类
413,78072,安徽,2025,历史类
412,78611,安徽,2025,历史类
411,79125,安徽,2025,历史类
410,79704,安徽,2025,历史类
409,80225,安徽,2025,历史类
408,80755,安徽,2025,历史类
407,81273,安徽,2025,历史类
406,81821,安徽,2025,历史类
405,82377,安徽,2025,历史类
404,82890,安徽,2025,历史类
403,83403,安徽,2025,历史类
402,83927,安徽,2025,历史类
401,84473,安徽,2025,历史类
400,85010,安徽,2025,历史类
399,85497,安徽,2025,历史类
398,86034,安徽,2025,历史类
397,86534,安徽,2025,历史类
396,87027,安徽,2025,历史类
395,87541,安徽,2025,历史类
394,88065,安徽,2025,历史类
393,88566,安徽,2025,历史类
392,89092,安徽,2025,历史类
391,89610,安徽,2025,历史类
390,90117,安徽,2025,历史类
389,90635,安徽,2025,历史类
388,91143,安徽,2025,历史类
387,91682,安徽,2025,历史类
386,92231,安徽,2025,历史类
385,92777,安徽,2025,历史类
384,93295,安徽,2025,历史类
383,93821,安徽,2025,历史类
382,94352,安徽,2025,历史类
381,94816,安徽,2025,历史类
380,95309,安徽,2025,历史类
379,95835,安徽,2025,历史类
378,96340,安徽,2025,历史类
377,96849,安徽,2025,历史类
